12.8 Povpreèno tedensko število obièajno in dejansko opravljenih delovnih ur delovno aktivnega prebivalstva po spolu, 2. èetrtletje;;;;;;;;;;;;;;
 Average usual and actual weekly working hours of persons in employment by sex, 2nd quarter;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Delovne ure;2007;2008;2009;2010;2011;Working hours;;;;;;;;
Skupaj;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;
Obièajno;40,2;40,4;39,7;39,3;39,6;Usual;;;;;;;;
Dejansko;35,8;36,0;34,0;34,6;34,7;Actual;;;;;;;;
;;;;;;;;;;;;;;
Moški;;;;;;;;;;;;;;
Men;;;;;;;;;;;;;;
Obièajno;41,3;41,5;40,6;40,3;40,5;Usual;;;;;;;;
Dejansko;37,6;37,9;35,9;36,7;36,2;Actual;;;;;;;;
;;;;;;;;;;;;;;
Ženske;;;;;;;;;;;;;;
Women;;;;;;;;;;;;;;
Obièajno;39,0;39,2;38,7;38,1;38,4;Usual;;;;;;;;
Dejansko;33,6;33,7;31,8;32,3;32,9;Actual;;;;;;;;
;;;;;;;;;;;;;;
Vir: ADS;;;;;;;;;;;;;;
Source: LFS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
