Country;Index;Time;Care activities;Childcare activities;Domestic activities;Social activities;Sport, culture and leisure activities;Volunteering and charitable activities
BE;59,6;45,3;56,9;67,1;46,8;36,1;29,6;42,6
BG;37;17,3;20,9;25,7;16,2;14,3;12,1;16,6
CZ;44,4;23,2;28,9;41,2;16,7;18,7;16,7;20,6
DK;73,6;64,9;80,4;93,1;67,7;52,4;42,3;62,5
DE;51,6;41,6;40,1;49,4;30,7;43,3;22,6;64
EE;50;51,4;75,4;84,2;66,6;35,1;30,2;39,9
IE;55,2;53,4;60,2;61,9;58,4;47,5;51,1;43,9
EL;40;17,4;20;26,9;13,1;15,1;16,3;13,8
ES;54;33,8;58,2;62,8;53,7;19,6;20,8;18,3
FR;57,1;35,8;43,6;52,2;35;29,3;23,6;35,1
IT;40,9;33;42,5;68,2;16,9;25,6;23,8;27,5
CY;42;25,3;35,9;50,3;21,5;17,8;10,9;24,8
LV;44,4;35,2;76,2;82,8;69,6;16,3;10,3;22,3
LT;43,6;24,1;40,2;45,8;34,6;14,5;13,2;15,7
LU;50,7;48,9;52;63;41;46;48,1;44
HU;41,4;32,5;53,5;82,3;24,8;19,7;15,7;23,8
MT;41,6;37,5;44,4;66,7;22,1;31,6;32,7;30,5
NL;69,7;71,3;70,7;86,1;55,3;71,9;48,9;94,9
AT;50,4;40;35,6;40,8;30,5;45;24;66,1
PL;44,1;20,9;27,6;33,1;22,1;15,8;14;17,7
PT;41,3;22,4;50,6;70,9;30,3;9,9;11,4;8,4
RO;35,3;17,8;27;34,3;19,6;11,8;4,2;19,4
SI;56;49,1;51,1;65,5;36,6;47,2;46,1;48,4
SK;40,9;17,8;27;41,4;12,7;11,7;13,9;9,5
FI;73,4;63,8;54,4;47,4;61,4;74,8;99;50,6
SE;74,3;63,9;69,7;60,8;78,6;58,7;50,9;66,4
UK;60,4;43,2;56,6;51,1;62,1;32,9;29,6;36,3
EU-27;54;38,8;45,5;54,2;36,7;33;25;41,1
