Country;Index;Money;Financial resources;Earnings;Income;Economic situation;Not at-risk-of-poverty;Income distribution
BE;59,6;79,3;69,7;78,2;61,1;90,3;93,4;87,2
BG;37;40,7;23,2;23,7;22,7;71,3;85,6;57,1
CZ;44,4;59,3;35,9;36,4;35,4;97,9;98,7;97,1
DK;73,6;79,2;74,8;89;60,5;83,9;93,7;74,1
DE;51,6;76,3;70,6;76;65,1;82,6;91,1;74,1
EE;50;49,1;31;33,6;28,4;77,9;91,3;64,5
IE;55,2;77;76,8;89,7;64;77,2;92,3;62,1
EL;40;63,3;54,3;61;47,6;73,9;86,8;61,1
ES;54;60,7;54,2;59,2;49,2;67,9;86,8;49
FR;57,1;75,9;67;65,5;68,5;86,1;94,8;77,4
IT;40,9;68,2;60,2;64,3;56;77,3;88,8;65,7
CY;42;74,1;66,5;63,6;69,5;82,6;89,5;75,7
LV;44,4;42;26,7;29,5;24;66;86,8;45,3
LT;43,6;41,5;26,8;29,1;24,4;64,3;86,6;42
LU;50,7;90,9;95;92,3;97,8;86,9;94,6;79,2
HU;41,4;54,4;30,5;36,4;24,6;97,1;97,1;97,1
MT;41,6;68,2;54,1;58,9;49,4;86;92,7;79,2
NL;69,7;82,5;71,8;75,5;68,2;94,8;97,7;91,9
AT;50,4;77,9;65,9;62;69,8;92,1;94,7;89,5
PL;44,1;52,2;34,6;40;29,2;78,8;90,6;66,9
PT;41,3;56,3;42,3;45,8;38,8;75;89;61,1
RO;35,3;39;21;27,6;14,5;72,5;87,9;57,1
SI;56;70,2;51,8;55,8;47,9;95,1;93,2;97,1
SK;40,9;53,7;31,7;33,2;30,3;90,9;96,7;85,1
FI;73,4;78,4;66,3;72,1;60,5;92,7;93,5;91,9
SE;74,3;80,2;67,7;73,5;61,8;95,1;93;97,1
UK;60,4;74,3;72,7;79,7;65,6;76;89,9;62,1
EU-27;54;68,9;59,5;65,2;53,9;79,6;91;68,3
