Annex 12: Scores of the Gender Equality Index and the domain of power;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Country;Index;Power;Political;Gap adjusted by levels of achievement;;;Economic;Gap adjusted by levels of achievement;
;;;;Ministerial representation;Parliamentary representation;Regional assemblies representation;;Members of boards;Members of Central Bank
BE;59,6;45,2;65,7;44,4;75,3;77,3;31,1;19,7;42,5
BG;37,0;33,8;47,9;54,9;41,6;47,3;23,9;21,1;26,7
CZ;44,4;29,6;34,4;33,1;35,0;35,0;25,5;23,6;27,4
DK;73,6;60,0;77,8;92,3;74,6;66,7;46,3;35,6;57,0
DE;51,6;28,0;59,4;54,2;61,9;61,9;13,2;25,5;1,0
EE;50,0;27,5;34,7;14,1;39,7;50,4;21,7;12,4;31,0
IE;55,2;26,5;30,4;27,8;29,8;33,6;23,0;16,3;29,8
EL;40,0;24,4;41,4;49,2;33,7;41,4;14,4;12,5;16,3
ES;54,0;47,2;75,4;78,0;66,3;81,9;29,6;20,0;39,2
FR;57,1;50,3;63,8;62,2;37,7;91,3;39,7;22,8;56,5
IT;40,9;18,6;31,2;32,4;38,1;23,1;11,1;10,2;12,0
CY;42,0;12,2;31,9;32,6;25,1;38,2;4,7;8,4;1,0
LV;44,4;38,6;38,9;41,8;38,3;36,5;38,3;40,0;36,5
LT;43,6;32,1;35,6;35,0;33,3;38,6;29,0;22,9;35,0
LU;50,7;14,7;44,8;53,3;39,6;41,6;4,8;8,7;1,0
HU;41,4;24,4;15,1;1,0;20,3;23,9;39,4;25,7;53,1
MT;41,6;18,7;30,1;28,2;18,4;43,8;11,7;4,9;18,4
NL;69,7;52,2;69,2;64,7;76,4;66,6;39,4;29,7;49,1
AT;50,4;24,3;63,1;74,7;55,4;59,2;9,3;17,6;1,0
PL;44,1;34,5;35,1;35,8;33,9;35,8;34,0;22,8;45,1
PT;41,3;30,6;44,1;34,1;56,7;41,6;21,2;10,1;32,2
RO;35,3;24,9;20,1;12,1;19,5;28,8;30,7;40,1;21,4
SI;56,0;36,0;43,5;64,9;22,1;43,4;29,9;20,2;39,5
SK;40,9;33,1;31,8;32,5;34,3;28,7;34,4;41,9;26,8
FI;73,4;68,8;85,9;98,9;77,4;81,4;55,1;50,3;59,9
SE;74,3;74,3;91,5;88,9;92,8;92,8;60,3;51,5;69,2
UK;60,4;35,2;52,4;58,2;38,9;60,1;23,6;25,5;21,7
EU-27;54,0;38,0;49,9;47,9;44,1;57,5;29,0;23,3;34,6
