Annex 13: Scores of the Gender Equality Index and the domain of health;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Country;Index;Health;Status;Gap adjusted by levels of achievement;;;Access;Gap adjusted by levels of achievement;
;;;;Self-perceived health;Life expectancy;Healthy life years;;Unmet medical needs;Unmet dental needs
BE;59,6;94,1;89,1;85,4;94,2;87,8;99,3;99,7;99,0
BG;37,0;84,5;83,0;75,3;85,5;88,4;85,9;85,5;86,3
CZ;44,4;89,6;83,4;72,5;90,5;87,2;96,1;96,6;95,7
DK;73,6;91,8;87,8;83,6;93,8;86,1;95,9;96,6;95,3
DE;51,6;89,5;84,5;77,5;94,7;81,3;94,7;93,8;95,6
EE;50,0;83,8;74,5;61,6;85,8;76,0;94,2;94,2;94,3
IE;55,2;96,4;95,8;99,5;95,6;92,4;97,0;97,1;97,0
EL;40,0;92,4;92,2;88,4;95,2;92,9;92,6;91,4;93,7
ES;54,0;90,7;89,4;82,5;96,0;89,6;92,1;92,5;91,7
FR;57,1;90,6;86,7;78,5;95,0;86,7;94,6;95,3;94,0
IT;40,9;90,8;89,4;76,5;96,9;94,7;92,2;92,2;92,1
CY;42,0;91,1;90,9;86,6;96,2;90,0;91,4;93,1;89,6
LV;44,4;77,1;71,0;54,4;83,4;75,2;83,7;77,8;89,7
LT;43,6;84,9;74,2;58,8;82,7;81,1;97,1;96,7;97,5
LU;50,7;93,9;91,3;89,1;94,6;90,3;96,6;96,5;96,8
HU;41,4;83,7;75,8;62,4;85,9;79,1;92,4;92,0;92,8
MT;41,6;93,2;91,4;79,8;96,2;98,3;95,0;94,2;95,9
NL;69,7;94,7;90,6;91,5;95,8;84,5;99,0;99,3;98,8
AT;50,4;91,6;86,4;81,1;94,6;83,5;97,2;97,7;96,7
PL;44,1;82,6;78,6;66,2;87,6;82,1;86,7;85,2;88,2
PT;41,3;84,5;75,4;53,6;93,2;79,5;94,7;97,3;92,2
RO;35,3;84,0;81,9;79,7;85,2;80,7;86,2;84,8;87,7
SI;56,0;88,7;78,6;68,1;92,8;75,0;99,9;100,0;99,9
SK;40,9;85,8;77,3;71,6;87,1;73,2;95,3;94,8;95,8
FI;73,4;89,9;85,6;81,7;93,4;81,7;94,4;93,4;95,5
SE;74,3;93,1;96,7;93,9;96,6;99,6;89,6;87,8;91,5
UK;60,4;95,4;93,9;94,9;95,6;91,1;97,0;96,5;97,5
EU-27;54,0;90,1;86,6;79,4;93,5;86,8;93,7;93,4;94,0
